"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","PM10","PM25"
"04/02/2009","17","PM10","","54-009-0011","AQS","6","17","."
"04/03/2009","6","PM10","","54-009-0011","AQS","3","6","."
"04/04/2009","31","PM2.5","","54-009-0005","AQS","3","12","31"
"04/05/2009","10","PM10","","54-009-0011","AQS","6","10","."
"04/06/2009","8","PM10","","54-009-0011","AQS","3","8","."
"04/07/2009","43","PM2.5","","54-009-0005","AQS","3","19","43"
"04/08/2009","9","PM10","","54-009-0011","AQS","5","9","."
"04/09/2009","23","PM10","","54-009-0011","AQS","6","23","."
"04/10/2009","72","PM2.5","","54-009-0011","AQS","7","27","72"
"04/11/2009","7","PM10","","54-009-0011","AQS","3","7","."
"04/12/2009","7","PM10","","54-009-0011","AQS","5","7","."
"04/13/2009","32","PM2.5","","54-009-0005","AQS","5","12","32"
"04/14/2009","12","PM10","","54-009-0011","AQS","5","12","."
"04/15/2009","6","PM10","","54-009-0011","AQS","5","6","."
"04/16/2009","31","PM2.5","","54-009-0005","AQS","5","12","31"
"04/17/2009","16","PM10","","54-009-0011","AQS","5","16","."
"04/18/2009","25","PM10","","54-009-0011","AQS","6","25","."
"04/19/2009","81","PM2.5","","54-009-0011","AQS","8","35","81"
"04/20/2009","6","PM10","","54-009-0011","AQS","3","6","."
"04/21/2009","7","PM10","","54-009-0011","AQS","3","7","."
"04/22/2009","22","PM2.5","","54-009-0005","AQS","3","8","22"
"04/23/2009","7","PM10","","54-009-0011","AQS","5","7","."
"04/24/2009","20","PM10","","54-009-0011","AQS","6","20","."
"04/25/2009","44","PM2.5","","54-009-0005","AQS","3","27","44"
"04/26/2009","31","PM10","","54-009-0011","AQS","5","31","."
"04/27/2009","33","PM10","","54-009-0011","AQS","6","33","."
"04/28/2009","46","PM2.5","","54-009-0011","AQS","5","25","46"
"04/29/2009","8","PM10","","54-009-0011","AQS","3","8","."
"04/30/2009","16","PM10","","54-009-0011","AQS","3","16","."
"05/01/2009","33","PM2.5","","54-009-0005","AQS","3","12","33"
"05/02/2009","8","PM10","","54-009-0011","AQS","5","8","."
"05/03/2009","15","PM10","","54-009-0011","AQS","5","15","."
"05/04/2009","45","PM2.5","","54-009-0005","AQS","3","13","45"
"05/05/2009","8","PM10","","54-009-0011","AQS","3","8","."
"05/06/2009","18","PM10","","54-009-0011","AQS","3","18","."
"05/07/2009","52","PM2.5","","54-009-0005","AQS","3","18","52"
"05/08/2009","25","PM10","","54-009-0011","AQS","3","25","."
"05/09/2009","12","PM10","","54-009-0011","AQS","3","12","."
"05/10/2009","34","PM2.5","","54-009-0005","AQS","3","21","34"
"05/11/2009","14","PM10","","54-009-0011","AQS","3","14","."
"05/12/2009","15","PM10","","54-009-0011","AQS","3","15","."
"05/13/2009","55","PM2.5","","54-009-0005","AQS","5","29","55"
"05/14/2009","18","PM10","","54-009-0011","AQS","3","18","."
"05/15/2009","19","PM10","","54-009-0011","AQS","5","19","."
"05/16/2009","54","PM2.5","","54-009-0005","AQS","5","20","54"
"05/17/2009","9","PM10","","54-009-0011","AQS","3","9","."
"05/18/2009","10","PM10","","54-009-0011","AQS","5","10","."
"05/19/2009","52","PM2.5","","54-009-0011","AQS","5","23","52"
"05/20/2009","31","PM10","","54-009-0011","AQS","5","31","."
"05/21/2009","29","PM10","","54-009-0011","AQS","5","29","."
"05/22/2009","63","PM2.5","","54-009-0011","AQS","5","33","63"
"05/23/2009","33","PM10","","54-009-0011","AQS","5","33","."
"05/24/2009","32","PM10","","54-009-0011","AQS","5","32","."
"05/25/2009","57","PM2.5","","54-009-0011","AQS",".","23","57"
"05/26/2009","14","PM10","","54-009-0011","AQS","7","14","."
"05/27/2009","15","PM10","","54-009-0011","AQS","5","15","."
"05/28/2009","49","PM2.5","","54-009-0005","AQS","5","18","49"
"05/29/2009","10","PM10","","54-009-0011","AQS","5","10","."
"05/30/2009","9","PM10","","54-009-0011","AQS","3","9","."
"05/31/2009","39","PM2.5","","54-009-0011","AQS","3","17","39"
"06/01/2009","27","PM10","","54-009-0011","AQS","5","27","."
"06/02/2009","18","PM10","","54-009-0011","AQS","5","18","."
"06/03/2009","38","PM2.5","","54-009-0005","AQS","3","13","38"
"06/04/2009","14","PM10","","54-009-0011","AQS","3","14","."
"06/05/2009","17","PM10","","54-009-0011","AQS","3","17","."
"06/06/2009","56","PM2.5","","54-009-0005","AQS","5","21","56"
"06/07/2009","28","PM10","","54-009-0011","AQS","5","28","."
"06/08/2009","36","PM10","","54-009-0011","AQS","7","36","."
"06/09/2009","66","PM2.5","","54-009-0005","AQS","5","29","66"
"06/10/2009","30","PM10","","54-009-0011","AQS","6","30","."
"06/11/2009","19","PM10","","54-009-0011","AQS","6","19","."
"06/12/2009","55","PM2.5","","54-009-0005","AQS","3","19","55"
"06/13/2009","7","PM10","","54-009-0011","AQS","3","7","."
"06/14/2009","13","PM10","","54-009-0011","AQS","5","13","."
"06/15/2009","60","PM2.5","","54-009-0005","AQS","5","22","60"
"06/16/2009","20","PM10","","54-009-0011","AQS","5","20","."
"06/17/2009","14","PM10","","54-009-0011","AQS","5","14","."
"06/18/2009","53","PM2.5","","54-009-0005","AQS","5","18","53"
"06/19/2009","17","PM10","","54-009-0011","AQS","6","17","."
"06/20/2009","13","PM10","","54-009-0011","AQS","5","13","."
"06/21/2009","29","PM2.5","","54-009-0011","AQS","5","12","29"
"06/22/2009","11","PM10","","54-009-0011","AQS","6","11","."
"06/23/2009","14","PM10","","54-009-0011","AQS","6","14","."
"06/24/2009","53","PM2.5","","54-009-0005","AQS","6","31","53"
"06/25/2009","33","PM10","","54-009-0011","AQS","7","33","."
"06/26/2009","15","PM10","","54-009-0011","AQS","6","15","."
"06/27/2009","51","PM2.5","","54-009-0005","AQS","6","19","51"
"06/28/2009","18","PM10","","54-009-0011","AQS","6","18","."
"06/29/2009","17","PM10","","54-009-0011","AQS","6","17","."
"06/30/2009","28","PM2.5","","54-009-0005","AQS","5","11","28"
"07/01/2009","14","PM10","","54-009-0011","AQS","6","14","."
"07/02/2009","8","PM10","","54-009-0011","AQS","6","8","."
"07/03/2009","47","PM2.5","","54-009-0005","AQS","6","18","47"
"07/04/2009","18","PM10","","54-009-0011","AQS","6","18","."
"07/05/2009","21","PM10","","54-009-0011","AQS","7","21","."
"07/06/2009","58","PM2.5","","54-009-0011","AQS","7","21","58"
"07/07/2009","13","PM10","","54-009-0011","AQS","7","13","."
"07/08/2009","14","PM10","","54-009-0011","AQS","6","14","."
"07/09/2009","65","PM2.5","","54-009-0011","AQS","5","24","65"
"07/10/2009","27","PM10","","54-009-0011","AQS","7","27","."
"07/11/2009","26","PM10","","54-009-0011","AQS","7","26","."
"07/12/2009","47","PM2.5","","54-009-0005","AQS","6","18","47"
"07/13/2009","11","PM10","","54-009-0011","AQS","6","11","."
"07/14/2009","16","PM10","","54-009-0011","AQS","6","16","."
"07/15/2009","57","PM2.5","","54-009-0005","AQS","6","25","57"
"07/16/2009","16","PM10","","54-009-0011","AQS","5","16","."
"07/17/2009","20","PM10","","54-009-0011","AQS","6","20","."
"07/18/2009","28","PM2.5","","54-009-0005","AQS","5","12","28"
"07/19/2009","11","PM10","","54-009-0011","AQS","5","11","."
"07/20/2009","17","PM10","","54-009-0011","AQS","6","17","."
"07/21/2009","58","PM2.5","","54-009-0011","AQS","6","23","58"
"07/22/2009","26","PM10","","54-009-0011","AQS","6","26","."
"07/23/2009","9","PM10","","54-009-0011","AQS","6","9","."
"07/24/2009","54","PM2.5","","54-009-0011","AQS","6","19","54"
"07/25/2009","21","PM10","","54-009-0011","AQS","7","21","."
"07/26/2009","15","PM10","","54-009-0011","AQS","6","15","."
