date,california,texas,n_dakota,wyoming,pennsylvania,w_virginia,oklahoma,florida,new_york,ohio
2014/7/31,64.29493088,52.59139785,40.64516129,42.33870968,54.30107527,42.7688172,50.27956989,46.02580645,49.94193548,54.49193548
2014/8/31,62.1843318,49.29032258,35.50537634,39.22580645,52.21505376,41.36021505,55.20430108,46.10322581,43.89677419,57.94354839
2014/9/30,64.99047619,37.99444444,32.62222222,36.69166667,43.9,32.74444444,42.88888889,34.52,39.045,47.60833333
2014/10/31,58.50230415,45.38709677,31.37634409,35.06451613,38.68817204,26.57258065,42.15053763,43.00645161,31.95645161,37.56451613
2014/11/30,48.79047619,35.25555556,30.3,33.55,46.37777778,28.41944444,33.12222222,41.49333333,35.85333333,39.06666667
2014/12/31,44.15668203,34.65053763,29.19354839,32.64516129,45.87634409,31.07526882,36.34408602,40.67096774,36.22580645,41.03225806
2015/1/31,57.77419355,32.97956989,31.52688172,34.2983871,49.35483871,30.5672043,34.51612903,38.47096774,43.69677419,43.67741935
2015/2/28,49.55102041,36.18452381,35.46428571,33.39285714,53.06547619,32.87202381,39.13095238,42.17142857,46.38571429,47.32142857
2015/3/31,47.43317972,36.90860215,36.97849462,39.60483871,53.19354839,34.27419355,42.38172043,42.9483871,45.08870968,47.60215054
2015/4/30,57.80952381,46.96666667,40.62222222,43.14166667,47.07777778,34.59166667,43.84444444,42.31333333,42.26666667,46.04166667
2015/5/31,55.5483871,51.40322581,47.27956989,41.10483871,60.58602151,44.00806452,41.4516129,46.70322581,49.41935484,58.66935484
2015/6/30,67.64285714,46.58888889,45.46666667,45.025,50.84444444,38.55,46.65555556,40.65333333,43.44,53.95833333
2015/7/31,51.21198157,48.91935484,52.8172043,40.5,60.47849462,42.5483871,45.33333333,47.74193548,54.27419355,58.70967742
2015/8/31,56.66359447,61.27419355,41.59139785,46.7016129,55.60752688,38.72311828,51.71505376,37.79516129,52.70967742,50.49193548
2015/9/30,60.71428571,46.21666667,35.77777778,39.925,55.63333333,35.38333333,46.93333333,35.53333333,50.02,54
2015/10/31,51.31336406,52.44086022,35.21505376,32.33870968,37.71505376,26.62903226,40.67741935,37.28387097,30.4983871,38.7016129
2015/11/30,45.25714286,33.63333333,32.37777778,33.74166667,42.64444444,26.01388889,31.55555556,32.20666667,34.7,37.625
2015/12/31,47.35023041,36.81182796,33.06451613,31.17741935,48.60215054,29.02150538,30.66666667,33.72903226,38.82580645,36.73387097
2016/1/31,46.11520737,36.60752688,37.88172043,34.08064516,51.54301075,31.50537634,33,42.13548387,41.93548387,40.78225806
2016/2/29,48.56650246,42.68390805,36.43678161,36.0862069,44.02873563,30.50287356,41.55172414,45.55862069,37,40.62643678
2016/3/31,44.53456221,46.82258065,36.25806452,36.30645161,46.36021505,31.65591398,41.48387097,42.59354839,40.97096774,40.75806452
2016/4/30,54.29047619,52.45,36.57777778,39.75833333,48.1,38.65,43.04444444,49.03333333,41.96,52.73333333
2016/5/31,53.94009217,49.51182796,44.40860215,43.04032258,50.14516129,35.81182796,44.6344086,50.76129032,49.21935484,52.71774194
2016/6/30,64.69047619,44.88888889,40.43333333,42.69166667,58,37.83333333,47.42222222,42.06,52.97166667,70.75833333
2016/7/31,68.58986175,40.2688172,35,46.49193548,57.68817204,35.12634409,48.80645161,41.72258065,56.99354839,55.7983871
2016/8/31,69.84331797,36.38172043,34.13978495,46.96774194,46.1344086,32.69086022,39.51612903,35.09354839,46.22580645,50.27419355
2016/9/30,66.27619048,42.59444444,26.73333333,34.95,45.27222222,34.725,41.76666667,36.76666667,38.66,48.725
2016/10/31,48.67741935,42.51935484,25.21505376,34.44354839,40.43010753,30.77419355,42.34408602,39.3155914,32.81290323,40.41935484
2016/11/30,45.85238095,38.32777778,26.96666667,31.25,47.68333333,35.375,36.32222222,47.53833333,35.48,44.65833333
2016/12/31,49.44700461,32.03763441,32.39784946,31.80645161,44.20430108,30.16397849,32.62365591,37.28387097,35.84516129,37.2688172
2017/1/31,41.27572965,36.13978495,34.89247312,38.66129032,45.56989247,29.62634409,34.46774194,39.4516129,39.71935484,37.15591398
2017/2/28,45.26530612,42.82738095,34.97619048,41.52678571,48.91666667,37.17559524,40.53571429,46.92142857,40.40535714,41.05357143
2017/3/31,46.02304147,40.92473118,36.65591398,41.7016129,47.05376344,33.52419355,45.36021505,48.03870968,40.92419355,42.59677419
2017/4/30,53.26666667,46.81555556,38.16666667,44.175,47.94444444,35.12777778,44.2,48.28666667,42.06666667,47.54166667
2017/5/31,56.60829493,57.24731183,41.7311828,46.14516129,45.30645161,36.47580645,51.05376344,56.6,42.40645161,49.66129032
2017/6/30,64.73333333,40.63333333,44.93333333,46.3,53.57777778,39.76944444,46.61111111,35.24666667,52.415,58.44166667
2017/7/31,70.13824885,38.72043011,48.5483871,48.59677419,51.87096774,39.43817204,47.96774194,39.52903226,50.81290323,53.44354839
2017/8/31,67.94930876,41.86236559,40.2688172,47.08870968,49.24731183,38.33602151,43.25806452,38.48387097,44.8516129,52.01612903
2017/9/30,66.33333333,47.97666667,41.03333333,42.66666667,46.44444444,33.95,47.23333333,39.42555556,37.26,48.51666667
2017/10/31,67.28571429,41.7688172,30.1827957,35.48387097,39.70967742,30.91129032,39.16129032,36.6983871,34.47741935,40.62096774
2017/11/30,45.74761905,36.82222222,30.77222222,32.225,45.78888889,31.51111111,36.96666667,42.41333333,32.53333333,39.08333333
2017/12/31,59.05529954,33.03225806,29.37634409,39.17741935,52.47311828,33.54569892,30.29569892,41.67741935,37.30322581,43.27419355
2018/1/31,50.22119816,34.00537634,26.6344086,34.59677419,48.66129032,34.92741935,35.8172043,40.62580645,42.05483871,43.73387097
2018/2/28,48.48979592,33.48809524,35.25595238,37.00892857,44.35714286,31.81547619,35.33333333,35.61428571,38.35,41.35714286
2018/3/31,43.38709677,47.03763441,40.55913978,38.88709677,40.68817204,30.95698925,51,50.43870968,39.29677419,41.20967742
2018/4/30,55.96190476,55.63333333,42.92222222,44.73333333,47.74444444,36.20277778,52.87777778,50.16666667,43.48,48.9
2018/5/31,53.92165899,47.10752688,48.75268817,47.28225806,51.57526882,39.94354839,53.1344086,42.21129032,52.58709677,62.41935484
2018/6/30,66.1952381,41.39444444,44.38888889,48.95833333,49.87777778,36.24722222,48.41111111,43.1,47.30666667,61.28333333
2018/7/31,77.25345622,58.68817204,38.19354839,49.08870968,54.17741935,36.18817204,63.64516129,48.56129032,57.61774194,57.62903226
