"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"12/14/2001","50","PM2.5","Convention Center","48-113-0050","AQS","13","26",".","50","32"
"12/15/2001","45","PM2.5","Convention Center","48-113-0050","AQS","5","21","17","45","28"
"12/16/2001","21","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","5","21",".","9","16"
"12/17/2001","47","NO2","Dallas Hinton","48-113-0069","AQS","19","22",".","38","47"
"12/18/2001","48","PM2.5","BOY'S  CLUB","48-113-0057","AQS","25","31",".","48","39"
"12/19/2001","47","NO2","Dallas Hinton","48-113-0069","AQS","13","30",".","24","47"
"12/20/2001","48","PM2.5","Dallas Hinton","48-113-0069","AQS","24","27",".","48","44"
"12/21/2001","49","PM2.5","Convention Center","48-113-0050","AQS","6","41","31","49","33"
"12/22/2001","33","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","3","33",".","23","25"
"12/23/2001","31","Ozone","SUNNYVALE LONG CREEK","48-113-3003","AQS","9","31",".","24","30"
"12/24/2001","32","NO2","Dallas Hinton","48-113-0069","AQS","6","28",".","30","32"
"12/25/2001","32","NO2","Dallas Hinton","48-113-0069","AQS","3","31",".","22","32"
"12/26/2001","44","NO2","Dallas Hinton","48-113-0069","AQS","14","27",".","33","44"
"12/27/2001","56","PM2.5","BOY'S  CLUB","48-113-0057","AQS","15","29","51","56","44"
"12/28/2001","53","PM2.5","Convention Center","48-113-0050","AQS","11","20",".","53","43"
"12/29/2001","38","NO2","Dallas Hinton","48-113-0069","AQS",".","27",".","30","38"
"12/30/2001","30","PM2.5","Dallas Redbird Airport Executive","48-113-0087","AQS",".","24",".","30","15"
"12/31/2001","43","PM2.5","Dallas Hinton","48-113-0069","AQS",".","27",".","43","24"
