"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM25","NO2"
"02/27/2017","56","PM2.5","Convention Center","48-113-0050","AQS","2","33","56","26"
"02/28/2017","72","PM2.5","Dallas Hinton","48-113-0069","AQS","2","35","72","8"
"03/01/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","1","42","27","25"
"03/02/2017","45","NO2","Dallas LBJ Freeway","48-113-1067","AQS","5","44","33","45"
"03/03/2017","48","Ozone","Dallas North #2","48-113-0075","AQS","7","48","40","42"
"03/04/2017","40","PM2.5","Dallas Hinton","48-113-0069","AQS","3","38","40","25"
"03/05/2017","55","PM2.5","Dallas Hinton","48-113-0069","AQS","2","28","55","5"
"03/06/2017","32","PM2.5","Dallas Hinton","48-113-0069","AQS","1","29","32","4"
"03/07/2017","44","Ozone","Dallas Hinton","48-113-0069","AQS","3","44","34","41"
"03/08/2017","42","Ozone","Dallas North #2","48-113-0075","AQS","7","42","40","40"
"03/09/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","2","26","35","22"
"03/10/2017","41","PM2.5","Dallas Hinton","48-113-0069","AQS","3","26","41","19"
"03/11/2017","41","PM2.5","Dallas Hinton","48-113-0069","AQS","2","33","41","14"
"03/12/2017","35","Ozone","Dallas North #2","48-113-0075","AQS","1","35","18","8"
"03/13/2017","32","Ozone","Dallas Hinton","48-113-0069","AQS","2","32","22","21"
"03/14/2017","35","PM2.5","Dallas Hinton","48-113-0069","AQS","3","34","35","28"
"03/15/2017","54","PM2.5","Dallas Hinton","48-113-0069","AQS","2","38","54","9"
"03/16/2017","54","PM2.5","Dallas Hinton","48-113-0069","AQS","2","36","54","8"
"03/17/2017","35","PM2.5","Convention Center","48-113-0050","AQS","2","34","35","11"
"03/18/2017","42","Ozone","Dallas North #2","48-113-0075","AQS","2","42","39","16"
"03/19/2017","44","PM2.5","Dallas Hinton","48-113-0069","AQS","3","39","44","14"
"03/20/2017","43","Ozone","Dallas Hinton","48-113-0069","AQS","2","43","36","8"
"03/21/2017","44","Ozone","Dallas Hinton","48-113-0069","AQS","2","44","26","18"
"03/22/2017","42","PM2.5","Dallas Hinton","48-113-0069","AQS","2","38","42","19"
"03/23/2017","44","Ozone","Dallas Hinton","48-113-0069","AQS","2","44","34","8"
"03/24/2017","40","Ozone","Dallas North #2","48-113-0075","AQS","2","40","28","13"
"03/25/2017","42","Ozone","Dallas Hinton","48-113-0069","AQS","2","42","20","30"
"03/26/2017","54","PM2.5","Dallas Hinton","48-113-0069","AQS","5","44","54","24"
"03/27/2017","52","PM2.5","Dallas Hinton","48-113-0069","AQS","2","39","52","25"
"03/28/2017","62","PM2.5","Dallas Hinton","48-113-0069","AQS","2","41","62","22"
"03/29/2017","48","Ozone","Dallas North #2","48-113-0075","AQS","2","48","20","17"
"03/30/2017","39","Ozone","Dallas North #2","48-113-0075","AQS","2","39","12","37"
"03/31/2017","54","Ozone","Dallas North #2","48-113-0075","AQS","2","54","21","25"
"04/01/2017","45","Ozone","Dallas North #2","48-113-0075","AQS","2","45","30","27"
"04/02/2017","35","Ozone","Dallas Hinton","48-113-0069","AQS","2","35","23","14"
"04/03/2017","64","Ozone","Dallas Hinton","48-113-0069","AQS","3","64","23","42"
