"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM25"
"05/13/2021","39","Ozone","Kittanning","42-005-0001","AQS","39","18"
"05/14/2021","45","Ozone","Kittanning","42-005-0001","AQS","45","24"
"05/15/2021","67","Ozone","Kittanning","42-005-0001","AQS","67","35"
"05/16/2021","64","Ozone","Kittanning","42-005-0001","AQS","64","40"
"05/17/2021","61","Ozone","Kittanning","42-005-0001","AQS","61","37"
"05/18/2021","71","Ozone","Kittanning","42-005-0001","AQS","71","41"
"05/19/2021","80","Ozone","Kittanning","42-005-0001","AQS","80","48"
"05/20/2021","84","Ozone","Kittanning","42-005-0001","AQS","84","52"
"05/21/2021","97","Ozone","Kittanning","42-005-0001","AQS","97","54"
"05/22/2021","67","Ozone","Kittanning","42-005-0001","AQS","67","54"
"05/23/2021","52","PM2.5","Kittanning","42-005-0001","AQS","49","52"
"05/24/2021","38","PM2.5","Kittanning","42-005-0001","AQS","23","38"
"05/25/2021","80","Ozone","Kittanning","42-005-0001","AQS","80","57"
"05/26/2021","64","PM2.5","Kittanning","42-005-0001","AQS","48","64"
"05/27/2021","40","Ozone","Kittanning","42-005-0001","AQS","40","23"
"05/28/2021","26","Ozone","Kittanning","42-005-0001","AQS","26","19"
"05/29/2021","23","Ozone","Kittanning","42-005-0001","AQS","23","4"
"05/30/2021","22","Ozone","Kittanning","42-005-0001","AQS","22","18"
"05/31/2021","44","Ozone","Kittanning","42-005-0001","AQS","44","29"
"06/01/2021","50","Ozone","Kittanning","42-005-0001","AQS","50","33"
"06/02/2021","43","PM2.5","Kittanning","42-005-0001","AQS","31","43"
"06/03/2021","37","PM2.5","Kittanning","42-005-0001","AQS","31","37"
"06/04/2021","77","Ozone","Kittanning","42-005-0001","AQS","77","37"
"06/05/2021","100","Ozone","Kittanning","42-005-0001","AQS","100","53"
"06/06/2021","77","Ozone","Kittanning","42-005-0001","AQS","77","59"
"06/07/2021","55","PM2.5","Kittanning","42-005-0001","AQS","41","55"
"06/08/2021","42","PM2.5","Kittanning","42-005-0001","AQS","35","42"
"06/09/2021","34","Ozone","Kittanning","42-005-0001","AQS","34","26"
"06/10/2021","38","Ozone","Kittanning","42-005-0001","AQS","38","33"
"06/11/2021","33","PM2.5","Kittanning","42-005-0001","AQS","31","33"
"06/12/2021","35","Ozone","Kittanning","42-005-0001","AQS","35","33"
